dataset,video_id,track_id,label_id,behavior,pct_time,baseline_median,deviation,is_outlier
inference,"D0C1.02(Gr,G,DHF)",track_0001,0,Standing,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0002,0,Standing,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0003,0,Standing,5.126,0.0,5.126,False
inference,"D0C1.02(Gr,G,DHF)",track_0004,0,Standing,6.2573,0.0,6.2573,True
inference,"D0C1.02(Gr,G,DHF)",track_0005,0,Standing,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0006,0,Standing,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0007,0,Standing,100.0,0.0,100.0,True
inference,"D0C1.02(Gr,G,DHF)",track_0008,0,Standing,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0009,0,Standing,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0011,0,Standing,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0012,0,Standing,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0013,0,Standing,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0015,0,Standing,16.3621,0.0,16.3621,True
inference,"D0C1.02(Gr,G,DHF)",track_0016,0,Standing,33.3125,0.0,33.3125,True
inference,"D0C1.02(Gr,G,DHF)",track_0018,0,Standing,1.5404,0.0,1.5404,False
inference,"D0C1.02(Gr,G,DHF)",track_0019,0,Standing,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0020,0,Standing,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0021,0,Standing,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0022,0,Standing,1.7879,0.0,1.7879,False
inference,"D0C1.02(Gr,G,DHF)",track_0033,0,Standing,5.2694,0.0,5.2694,True
inference,"D0C1.02(Gr,G,DHF)",track_0034,0,Standing,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0040,0,Standing,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0041,0,Standing,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0001,1,Lying,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0002,1,Lying,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0003,1,Lying,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0004,1,Lying,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0005,1,Lying,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0006,1,Lying,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0007,1,Lying,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0008,1,Lying,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0009,1,Lying,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0011,1,Lying,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0012,1,Lying,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0013,1,Lying,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0015,1,Lying,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0016,1,Lying,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0018,1,Lying,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0019,1,Lying,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0020,1,Lying,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0021,1,Lying,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0022,1,Lying,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0033,1,Lying,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0034,1,Lying,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0040,1,Lying,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0041,1,Lying,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0001,2,Foraging,0.0,43.9928,43.9928,False
inference,"D0C1.02(Gr,G,DHF)",track_0002,2,Foraging,85.699,43.9928,41.7062,False
inference,"D0C1.02(Gr,G,DHF)",track_0003,2,Foraging,35.8915,43.9928,8.1013,False
inference,"D0C1.02(Gr,G,DHF)",track_0004,2,Foraging,49.9883,43.9928,5.9955,False
inference,"D0C1.02(Gr,G,DHF)",track_0005,2,Foraging,0.0,43.9928,43.9928,False
inference,"D0C1.02(Gr,G,DHF)",track_0006,2,Foraging,84.2084,43.9928,40.2156,False
inference,"D0C1.02(Gr,G,DHF)",track_0007,2,Foraging,0.0,43.9928,43.9928,False
inference,"D0C1.02(Gr,G,DHF)",track_0008,2,Foraging,50.0,43.9928,6.0072,False
inference,"D0C1.02(Gr,G,DHF)",track_0009,2,Foraging,0.0,43.9928,43.9928,False
inference,"D0C1.02(Gr,G,DHF)",track_0011,2,Foraging,42.8591,43.9928,1.1337,False
inference,"D0C1.02(Gr,G,DHF)",track_0012,2,Foraging,100.0,43.9928,56.0072,False
inference,"D0C1.02(Gr,G,DHF)",track_0013,2,Foraging,67.9236,43.9928,23.9308,False
inference,"D0C1.02(Gr,G,DHF)",track_0015,2,Foraging,7.2675,43.9928,36.7253,False
inference,"D0C1.02(Gr,G,DHF)",track_0016,2,Foraging,0.0,43.9928,43.9928,False
inference,"D0C1.02(Gr,G,DHF)",track_0018,2,Foraging,53.8395,43.9928,9.8467,False
inference,"D0C1.02(Gr,G,DHF)",track_0019,2,Foraging,0.0,43.9928,43.9928,False
inference,"D0C1.02(Gr,G,DHF)",track_0020,2,Foraging,66.6875,43.9928,22.6947,False
inference,"D0C1.02(Gr,G,DHF)",track_0021,2,Foraging,87.4824,43.9928,43.4896,False
inference,"D0C1.02(Gr,G,DHF)",track_0022,2,Foraging,91.0674,43.9928,47.0746,False
inference,"D0C1.02(Gr,G,DHF)",track_0033,2,Foraging,73.6728,43.9928,29.68,False
inference,"D0C1.02(Gr,G,DHF)",track_0034,2,Foraging,43.9928,43.9928,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0040,2,Foraging,0.0,43.9928,43.9928,False
inference,"D0C1.02(Gr,G,DHF)",track_0041,2,Foraging,0.0,43.9928,43.9928,False
inference,"D0C1.02(Gr,G,DHF)",track_0001,3,Drinking,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0002,3,Drinking,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0003,3,Drinking,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0004,3,Drinking,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0005,3,Drinking,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0006,3,Drinking,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0007,3,Drinking,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0008,3,Drinking,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0009,3,Drinking,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0011,3,Drinking,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0012,3,Drinking,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0013,3,Drinking,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0015,3,Drinking,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0016,3,Drinking,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0018,3,Drinking,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0019,3,Drinking,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0020,3,Drinking,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0021,3,Drinking,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0022,3,Drinking,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0033,3,Drinking,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0034,3,Drinking,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0040,3,Drinking,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0041,3,Drinking,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0001,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0002,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0003,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0004,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0005,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0006,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0007,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0008,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0009,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0011,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0012,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0013,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0015,4,Ruminating,9.0946,0.0,9.0946,False
inference,"D0C1.02(Gr,G,DHF)",track_0016,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0018,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0019,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0020,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0021,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0022,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0033,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0034,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0040,4,Ruminating,20.015,0.0,20.015,False
inference,"D0C1.02(Gr,G,DHF)",track_0041,4,Ruminating,14.2972,0.0,14.2972,False
inference,"D0C1.02(Gr,G,DHF)",track_0001,5,Grooming,18.7529,3.0808,15.6721,False
inference,"D0C1.02(Gr,G,DHF)",track_0002,5,Grooming,0.0,3.0808,3.0808,False
inference,"D0C1.02(Gr,G,DHF)",track_0003,5,Grooming,15.3876,3.0808,12.3068,False
inference,"D0C1.02(Gr,G,DHF)",track_0004,5,Grooming,6.2573,3.0808,3.1765,False
inference,"D0C1.02(Gr,G,DHF)",track_0005,5,Grooming,0.0,3.0808,3.0808,False
inference,"D0C1.02(Gr,G,DHF)",track_0006,5,Grooming,5.2704,3.0808,2.1896,False
inference,"D0C1.02(Gr,G,DHF)",track_0007,5,Grooming,0.0,3.0808,3.0808,False
inference,"D0C1.02(Gr,G,DHF)",track_0008,5,Grooming,0.0,3.0808,3.0808,False
inference,"D0C1.02(Gr,G,DHF)",track_0009,5,Grooming,33.375,3.0808,30.2942,True
inference,"D0C1.02(Gr,G,DHF)",track_0011,5,Grooming,14.2819,3.0808,11.2011,False
inference,"D0C1.02(Gr,G,DHF)",track_0012,5,Grooming,0.0,3.0808,3.0808,False
inference,"D0C1.02(Gr,G,DHF)",track_0013,5,Grooming,9.4305,3.0808,6.3497,False
inference,"D0C1.02(Gr,G,DHF)",track_0015,5,Grooming,14.5555,3.0808,11.4747,False
inference,"D0C1.02(Gr,G,DHF)",track_0016,5,Grooming,0.0,3.0808,3.0808,False
inference,"D0C1.02(Gr,G,DHF)",track_0018,5,Grooming,3.0808,3.0808,0.0,False
inference,"D0C1.02(Gr,G,DHF)",track_0019,5,Grooming,0.0,3.0808,3.0808,False
inference,"D0C1.02(Gr,G,DHF)",track_0020,5,Grooming,33.3125,3.0808,30.2317,True
