epoch,train_loss,val_loss,val_macro_f1
1,0.520846,0.821026,0.494569
2,0.154516,0.449385,0.572577
1,0.509547,0.392008,0.411788,0.627803,0.540541,0.911251,0.802920,0.000000,0.000000,0.000000,5.00000000e-05
2,0.155513,0.447954,0.402783,0.576419,0.500000,0.909727,0.833333,0.000000,0.000000,0.000000,2.48915199e-05
