epoch,train_loss,val_loss,val_macro_f1,val_f1_standing,val_f1_lying,val_f1_foraging,val_f1_drinking,val_f1_ruminating,val_f1_grooming,val_f1_other,lr
1,0.8468,2.0337,0.118,0.259,0.472,0.019,0.016,0.06,0.0,0.0,0.0
2,0.3953,2.3234,0.1319,0.26,0.487,0.012,0.002,0.162,0.0,0.0,1.67e-05
3,0.3031,2.2352,0.1412,0.282,0.222,0.072,0.007,0.405,0.0,0.0,3.34e-05
4,0.2394,2.7559,0.1426,0.277,0.166,0.031,0.114,0.411,0.0,0.0,5e-05
5,0.1732,3.2872,0.1279,0.273,0.207,0.094,0.224,0.097,0.0,0.0,4.98e-05
6,0.1402,3.7798,0.1461,0.283,0.279,0.037,0.078,0.345,0.0,0.0,4.93e-05
7,0.1082,2.4847,0.1581,0.358,0.112,0.428,0.01,0.199,0.0,0.0,4.85e-05
8,0.0996,3.6532,0.1201,0.259,0.371,0.09,0.002,0.118,0.0,0.0,4.73e-05
9,0.0743,5.1766,0.1283,0.263,0.137,0.061,0.186,0.251,0.0,0.0,4.59e-05
10,0.073,6.3138,0.0728,0.261,0.006,0.083,0.118,0.041,0.0,0.0,4.41e-05
11,0.0625,4.2563,0.1715,0.29,0.267,0.107,0.136,0.4,0.0,0.0,4.21e-05
12,0.0511,7.5738,0.113,0.243,0.204,0.008,0.134,0.202,0.0,0.0,3.99e-05
13,0.0465,6.2521,0.1234,0.266,0.154,0.059,0.213,0.172,0.0,0.0,3.75e-05
14,0.0296,5.1081,0.1714,0.294,0.186,0.125,0.119,0.477,0.0,0.0,3.49e-05
15,0.0255,5.4987,0.0953,0.298,0.028,0.161,0.071,0.111,0.0,0.0,3.21e-05
16,0.0201,6.2171,0.1388,0.266,0.076,0.038,0.135,0.456,0.0,0.0,2.93e-05
17,0.0187,6.4862,0.1422,0.272,0.315,0.074,0.112,0.223,0.0,0.0,2.64e-05
18,0.0145,5.9543,0.15,0.281,0.287,0.1,0.115,0.268,0.0,0.0,2.35e-05
19,0.0098,7.1056,0.16,0.272,0.257,0.037,0.169,0.386,0.0,0.0,2.06e-05
