epoch,train_loss,val_loss,val_macro_f1,val_f1_standing,val_f1_lying,val_f1_foraging,val_f1_drinking,val_f1_ruminating,val_f1_grooming,val_f1_other,lr
1,0.542136,0.545499,0.730720,0.872779,0.824227,0.971709,0.827918,0.723285,0.655509,0.239614,0.00000000e+00
2,0.185472,0.645877,0.732151,0.845257,0.839655,0.979516,0.854278,0.774554,0.594507,0.237288,1.66666667e-05
3,0.159052,1.014036,0.705160,0.840555,0.819099,0.934246,0.833547,0.760229,0.570888,0.177556,3.33333333e-05
4,0.141982,0.604785,0.760656,0.860222,0.844874,0.978919,0.880952,0.800996,0.715385,0.243243,5.00000000e-05
5,0.105386,0.731983,0.719335,0.848703,0.820419,0.959584,0.824093,0.748094,0.576744,0.257711,4.98309589e-05
6,0.089620,0.959763,0.725146,0.845640,0.817574,0.982750,0.850260,0.745804,0.663951,0.170040,4.93261218e-05
7,0.076778,0.930522,0.757007,0.868949,0.829203,0.980520,0.880383,0.760502,0.678715,0.300778,4.84923155e-05
8,0.065288,1.058213,0.736520,0.876150,0.821692,0.981654,0.885466,0.750542,0.657143,0.182990,4.73408160e-05
9,0.056295,1.013737,0.728658,0.863444,0.800094,0.983763,0.898570,0.701422,0.664016,0.189300,4.58871953e-05
10,0.051000,1.199662,0.721747,0.851445,0.841179,0.979732,0.865069,0.741382,0.640288,0.133136,4.41511111e-05
11,0.041025,1.146002,0.730523,0.864780,0.837000,0.979293,0.875403,0.763789,0.557500,0.235897,4.21560409e-05
12,0.037334,1.082665,0.749806,0.877368,0.824005,0.985010,0.879845,0.733647,0.689266,0.259502,3.99289648e-05
