epoch,train_loss,val_loss,val_macro_f1,val_f1_standing,val_f1_lying,val_f1_foraging,val_f1_drinking,val_f1_ruminating,val_f1_grooming,val_f1_other,lr
1,0.8344,0.6086,0.4515,0.801,0.735,0.916,0.465,0.243,0.0,0.0,0.0
2,0.3897,1.2303,0.3669,0.728,0.747,0.557,0.435,0.102,0.0,0.0,1.67e-05
3,0.295,0.898,0.4278,0.808,0.727,0.899,0.468,0.093,0.0,0.0,3.34e-05
4,0.2375,1.424,0.4051,0.798,0.693,0.661,0.504,0.18,0.0,0.0,5e-05
5,0.177,1.5163,0.4044,0.816,0.738,0.778,0.4,0.099,0.0,0.0,4.98e-05
6,0.14,1.6919,0.4009,0.806,0.667,0.561,0.513,0.258,0.0,0.0,4.93e-05
7,0.1094,2.0162,0.4068,0.829,0.645,0.654,0.496,0.224,0.0,0.0,4.85e-05
8,0.1035,1.844,0.4246,0.818,0.682,0.829,0.426,0.218,0.0,0.0,4.73e-05
9,0.0895,2.5071,0.3911,0.807,0.72,0.571,0.482,0.158,0.0,0.0,4.59e-05
