epoch,train_loss,val_loss,val_macro_f1,val_f1_standing,val_f1_lying,val_f1_foraging,val_f1_drinking,val_f1_ruminating,val_f1_grooming,val_f1_other,lr
1,0.6051,0.5284,0.7069,0.826,0.824,0.96,0.821,0.731,0.563,0.222,0.0
2,0.2384,0.6084,0.728,0.837,0.792,0.977,0.855,0.706,0.682,0.247,1.67e-05
3,0.2084,0.6425,0.7262,0.859,0.806,0.954,0.82,0.676,0.684,0.285,3.33e-05
4,0.1734,0.8133,0.7465,0.854,0.812,0.964,0.862,0.68,0.693,0.36,5e-05
5,0.1403,0.8743,0.7367,0.832,0.817,0.965,0.852,0.695,0.705,0.291,4.98e-05
6,0.1141,0.9948,0.7172,0.837,0.795,0.951,0.863,0.641,0.682,0.252,4.93e-05
7,0.1027,0.9588,0.7468,0.841,0.826,0.965,0.88,0.726,0.729,0.261,4.85e-05
8,0.0866,0.9815,0.7505,0.858,0.817,0.971,0.87,0.704,0.762,0.272,4.73e-05
9,0.08,1.0177,0.7419,0.851,0.822,0.962,0.891,0.712,0.635,0.321,4.59e-05
10,0.0729,1.0909,0.7406,0.854,0.807,0.968,0.859,0.705,0.662,0.329,4.41e-05
11,0.0579,1.2729,0.7254,0.846,0.817,0.96,0.876,0.643,0.7,0.237,4.22e-05
12,0.0551,0.9814,0.7342,0.848,0.805,0.967,0.887,0.709,0.664,0.26,3.99e-05
13,0.0425,1.4579,0.7392,0.852,0.825,0.969,0.886,0.691,0.702,0.25,3.75e-05
14,0.0356,1.331,0.7414,0.861,0.81,0.967,0.898,0.678,0.69,0.285,3.49e-05
15,0.0323,1.306,0.7269,0.849,0.803,0.97,0.875,0.655,0.669,0.267,3.22e-05
16,0.0245,1.4857,0.7364,0.842,0.814,0.966,0.885,0.689,0.674,0.285,2.93e-05
