track_id,label_id,label_name,start_frame,end_frame,start_sec,end_sec,duration_sec
track_0003,2,Foraging,0,288,0.0,9.6,9.6
track_0003,4,Ruminating,288,296,9.6,9.867,0.267
track_0003,0,Standing,296,320,9.867,10.667,0.8
track_0003,2,Foraging,320,352,10.667,11.734,1.067
track_0003,0,Standing,352,360,11.734,12.0,0.267
track_0003,4,Ruminating,360,376,12.0,12.534,0.533
track_0003,2,Foraging,376,392,12.534,13.067,0.533
track_0003,4,Ruminating,392,424,13.067,14.134,1.067
track_0003,2,Foraging,424,488,14.134,16.267,2.133
track_0003,4,Ruminating,488,496,16.267,16.534,0.267
