track_id,label_id,label_name,start_frame,end_frame,start_sec,end_sec,duration_sec
track_0003,4,Ruminating,0,8,0.0,0.267,0.267
track_0003,5,Grooming,8,16,0.267,0.533,0.267
track_0003,6,Other,16,40,0.533,1.333,0.8
track_0003,5,Grooming,40,48,1.333,1.6,0.267
track_0003,6,Other,48,88,1.6,2.933,1.333
track_0003,5,Grooming,88,96,2.933,3.2,0.267
track_0003,4,Ruminating,96,112,3.2,3.733,0.533
track_0003,5,Grooming,112,136,3.733,4.533,0.8
track_0003,6,Other,136,144,4.533,4.8,0.267
track_0003,5,Grooming,144,152,4.8,5.067,0.267
track_0003,4,Ruminating,152,168,5.067,5.6,0.533
track_0003,5,Grooming,168,184,5.6,6.134,0.533
track_0003,6,Other,184,208,6.134,6.934,0.8
track_0003,5,Grooming,208,248,6.934,8.267,1.333
track_0003,6,Other,248,280,8.267,9.334,1.067
track_0003,5,Grooming,280,288,9.334,9.6,0.267
track_0003,6,Other,288,296,9.6,9.867,0.267
track_0003,2,Foraging,296,312,9.867,10.4,0.533
track_0003,4,Ruminating,312,320,10.4,10.667,0.267
track_0003,2,Foraging,320,336,10.667,11.2,0.533
track_0003,5,Grooming,336,360,11.2,12.0,0.8
track_0003,6,Other,360,368,12.0,12.267,0.267
track_0003,4,Ruminating,368,376,12.267,12.534,0.267
track_0003,5,Grooming,376,384,12.534,12.8,0.267
track_0003,6,Other,384,400,12.8,13.334,0.533
track_0003,5,Grooming,400,408,13.334,13.6,0.267
track_0003,4,Ruminating,408,416,13.6,13.867,0.267
track_0003,5,Grooming,416,424,13.867,14.134,0.267
track_0003,4,Ruminating,424,440,14.134,14.667,0.533
track_0003,6,Other,440,504,14.667,16.801,2.133
track_0003,4,Ruminating,504,520,16.801,17.334,0.533
track_0003,5,Grooming,520,528,17.334,17.601,0.267
track_0003,6,Other,528,568,17.601,18.934,1.333
