video_id,dataset,n_frames,n_frames_with_dets,n_frames_with_masks,total_detections,total_masks,avg_masks_per_frame,avg_mask_area_px,coverage_rate,processing_time_s
638,cbvd5,6,6,6,10,10,1.67,34207.9,1.0,2.75
639,cbvd5,6,6,6,39,39,6.5,48927.8,1.0,3.0
64,cbvd5,6,0,0,0,0,0.0,0.0,0.0,0.04
640,cbvd5,6,6,6,16,16,2.67,30240.2,1.0,2.81
641,cbvd5,6,6,6,6,6,1.0,56500.7,1.0,2.72
642,cbvd5,6,6,6,6,6,1.0,56294.8,1.0,2.76
643,cbvd5,6,6,6,43,43,7.17,36970.6,1.0,3.08
644,cbvd5,6,6,6,42,42,7.0,28830.9,1.0,3.02
645,cbvd5,6,6,6,37,37,6.17,37240.8,1.0,2.98
646,cbvd5,6,6,6,30,30,5.0,35261.2,1.0,2.93
647,cbvd5,6,1,1,1,1,0.17,54110.0,1.0,0.49
648,cbvd5,6,6,6,18,18,3.0,16957.1,1.0,2.87
649,cbvd5,6,6,6,31,31,5.17,32500.2,1.0,2.96
65,cbvd5,6,0,0,0,0,0.0,0.0,0.0,0.04
650,cbvd5,6,6,6,37,37,6.17,24439.7,1.0,3.06
651,cbvd5,6,6,6,41,41,6.83,25800.0,1.0,3.11
652,cbvd5,6,6,6,22,22,3.67,13329.5,1.0,2.87
653,cbvd5,6,6,6,14,14,2.33,8193.1,1.0,2.78
654,cbvd5,6,6,6,27,27,4.5,9109.6,1.0,2.93
655,cbvd5,6,6,6,22,22,3.67,7384.4,1.0,2.9
656,cbvd5,6,0,0,0,0,0.0,0.0,0.0,0.05
657,cbvd5,6,5,5,5,5,0.83,7139.4,1.0,2.24
658,cbvd5,6,4,4,4,4,0.67,57008.0,1.0,1.8
659,cbvd5,6,6,6,7,7,1.17,27900.7,1.0,2.67
66,cbvd5,6,0,0,0,0,0.0,0.0,0.0,0.04
660,cbvd5,6,6,6,39,39,6.5,38448.4,1.0,3.06
661,cbvd5,6,6,6,22,22,3.67,33766.4,1.0,2.9
662,cbvd5,6,6,6,6,6,1.0,56755.7,1.0,2.7
663,cbvd5,6,6,6,6,6,1.0,56679.5,1.0,2.69
664,cbvd5,6,6,6,61,61,10.17,35332.1,1.0,3.25
665,cbvd5,6,6,6,33,33,5.5,45015.8,1.0,3.28
666,cbvd5,6,6,6,34,34,5.67,35710.1,1.0,3.03
667,cbvd5,6,6,6,40,40,6.67,40949.5,1.0,3.2
668,cbvd5,6,6,6,66,66,11.0,60452.7,1.0,3.24
669,cbvd5,6,6,6,35,35,5.83,41815.5,1.0,3.04
67,cbvd5,6,0,0,0,0,0.0,0.0,0.0,0.05
670,cbvd5,6,6,6,22,22,3.67,11350.7,1.0,2.84
671,cbvd5,6,6,6,10,10,1.67,8815.6,1.0,2.72
672,cbvd5,6,1,1,2,2,0.33,31826.5,1.0,0.49
673,cbvd5,6,6,6,7,7,1.17,10778.3,1.0,2.7
674,cbvd5,6,6,6,41,41,6.83,41307.5,1.0,3.04
675,cbvd5,6,6,6,38,38,6.33,17472.0,1.0,3.01
