track_id,label_id,label_name,start_frame,end_frame,start_sec,end_sec,duration_sec
track_0003,6,Other,0,32,0.0,1.067,1.067
track_0003,0,Standing,40,48,1.333,1.6,0.267
track_0003,6,Other,48,56,1.6,1.867,0.267
track_0003,2,Foraging,56,64,1.867,2.133,0.267
track_0003,5,Grooming,64,72,2.133,2.4,0.267
track_0003,6,Other,72,112,2.4,3.733,1.333
track_0003,2,Foraging,112,128,3.733,4.267,0.533
track_0003,6,Other,128,168,4.267,5.6,1.333
track_0003,5,Grooming,168,184,5.6,6.133,0.533
track_0003,6,Other,184,208,6.133,6.933,0.8
track_0003,6,Other,240,264,8.0,8.8,0.8
track_0003,4,Ruminating,328,336,10.933,11.2,0.267
track_0003,6,Other,336,368,11.2,12.267,1.067
