track_id,label_id,label_name,start_frame,end_frame,start_sec,end_sec,duration_sec
track_0004,1,Lying,0,16,0.0,0.533,0.533
track_0004,6,Other,16,40,0.533,1.333,0.8
track_0004,4,Ruminating,40,64,1.333,2.133,0.8
track_0004,6,Other,64,72,2.133,2.4,0.267
track_0004,1,Lying,72,88,2.4,2.933,0.533
track_0004,6,Other,88,136,2.933,4.533,1.6
track_0004,1,Lying,136,240,4.533,8.0,3.467
track_0004,6,Other,240,296,8.0,9.867,1.867
track_0004,1,Lying,296,312,9.867,10.4,0.533
track_0004,4,Ruminating,312,320,10.4,10.667,0.267
track_0004,1,Lying,320,336,10.667,11.2,0.533
track_0004,4,Ruminating,336,344,11.2,11.467,0.267
track_0004,6,Other,344,392,11.467,13.067,1.6
track_0004,0,Standing,392,400,13.067,13.334,0.267
track_0004,6,Other,400,416,13.334,13.867,0.533
track_0004,1,Lying,456,472,15.201,15.734,0.533
track_0004,5,Grooming,568,584,18.934,19.467,0.533
