track_id,label_id,label_name,start_frame,end_frame,start_sec,end_sec,duration_sec
track_0001,6,Other,0,8,0.0,0.267,0.267
track_0001,0,Standing,8,24,0.267,0.8,0.533
track_0001,6,Other,24,32,0.8,1.067,0.267
track_0001,0,Standing,32,112,1.067,3.733,2.667
track_0001,6,Other,112,128,3.733,4.267,0.533
track_0001,0,Standing,128,144,4.267,4.8,0.533
track_0001,6,Other,144,200,4.8,6.667,1.867
track_0001,0,Standing,200,248,6.667,8.267,1.6
track_0001,6,Other,248,312,8.267,10.4,2.133
track_0001,0,Standing,312,328,10.4,10.934,0.533
track_0001,6,Other,328,384,10.934,12.8,1.867
track_0001,0,Standing,384,392,12.8,13.067,0.267
track_0001,6,Other,392,416,13.067,13.867,0.8
track_0001,0,Standing,416,432,13.867,14.4,0.533
track_0001,6,Other,432,472,14.4,15.734,1.333
track_0001,0,Standing,472,480,15.734,16.001,0.267
track_0001,6,Other,480,504,16.001,16.801,0.8
track_0001,5,Grooming,504,520,16.801,17.334,0.533
track_0001,6,Other,520,552,17.334,18.401,1.067
track_0001,0,Standing,552,560,18.401,18.667,0.267
track_0001,5,Grooming,560,568,18.667,18.934,0.267
track_0001,6,Other,568,584,18.934,19.467,0.533
track_0001,5,Grooming,584,592,19.467,19.734,0.267
track_0001,6,Other,592,704,19.734,23.467,3.733
track_0001,0,Standing,704,752,23.467,25.068,1.6
track_0001,6,Other,752,816,25.068,27.201,2.133
track_0001,0,Standing,816,824,27.201,27.468,0.267
track_0001,6,Other,824,864,27.468,28.801,1.333
track_0001,2,Foraging,864,872,28.801,29.068,0.267
track_0001,0,Standing,872,896,29.068,29.868,0.8
track_0001,6,Other,896,904,29.868,30.134,0.267
