track_id,label_id,label_name,start_frame,end_frame,start_sec,end_sec,duration_sec
track_0058,6,Other,616,648,20.534,21.601,1.067
track_0058,5,Grooming,648,656,21.601,21.867,0.267
track_0058,0,Standing,656,664,21.867,22.134,0.267
track_0058,6,Other,664,688,22.134,22.934,0.8
track_0058,5,Grooming,688,704,22.934,23.467,0.533
track_0058,0,Standing,704,712,23.467,23.734,0.267
track_0058,6,Other,712,720,23.734,24.001,0.267
track_0058,5,Grooming,720,736,24.001,24.534,0.533
track_0058,6,Other,736,776,24.534,25.868,1.333
track_0058,0,Standing,776,800,25.868,26.668,0.8
track_0058,5,Grooming,800,808,26.668,26.934,0.267
track_0058,2,Foraging,808,832,26.934,27.734,0.8
track_0058,0,Standing,832,904,27.734,30.134,2.4
