track_id,label_id,label_name,start_frame,end_frame,start_sec,end_sec,duration_sec
track_0026,2,Foraging,265,289,8.834,9.634,0.8
track_0026,6,Other,313,337,10.434,11.234,0.8
track_0026,5,Grooming,337,361,11.234,12.034,0.8
track_0026,2,Foraging,409,449,13.634,14.967,1.333
track_0026,6,Other,449,457,14.967,15.234,0.267
track_0026,2,Foraging,457,473,15.234,15.767,0.533
track_0026,5,Grooming,473,481,15.767,16.034,0.267
track_0026,6,Other,481,489,16.034,16.301,0.267
track_0026,5,Grooming,489,497,16.301,16.567,0.267
track_0026,2,Foraging,497,513,16.567,17.101,0.533
track_0026,5,Grooming,585,593,19.501,19.767,0.267
track_0026,0,Standing,593,609,19.767,20.301,0.533
track_0026,5,Grooming,609,617,20.301,20.567,0.267
track_0026,6,Other,617,633,20.567,21.101,0.533
track_0026,6,Other,641,665,21.367,22.167,0.8
track_0026,6,Other,673,689,22.434,22.967,0.533
track_0026,5,Grooming,689,705,22.967,23.501,0.533
track_0026,0,Standing,705,721,23.501,24.034,0.533
